"","NAMES","Value"
"1","ALPINE MEADOW",1
"2","CALIFORNIA CHAPARRAL",2
"3","CALIFORNIA CONIFER FOREST",3
"4","CALIFORNIA GRASSLAND",4
"5","CALIFORNIA MIXED EVERGREEN",5
"6","COASTAL PRAIRIE",6
"7","DESERT GRASSLAND",7
"8","DESERT SAVANNA",8
"9","DESERT SHRUB",9
"10","DESERT STEPPE",10
"11","EASTERN HARDWOOD FOREST",11
"12","FLOODPLAIN FORESTS",12
"13","GREAT BASIN GRASSLAND",13
"14","GREAT BASIN SHRUB",14
"15","GREAT BASIN SHRUB/STEPPE",15
"16","GREAT BASIN/SOUTHWEST FOREST",16
"17","NORTHERN CONIFER FOREST",17
"18","NORTHERN HARDWOODS",18
"19","NORTH MIXED GRASS PRAIRIE",19
"20","PNW CONIFER FOREST",20
"21","ROCKY MTN CONIFER FOREST",21
"22","SHORTGRASS PRAIRIE",22
"23","SOUTHEASTERN SUBTROPICAL FOREST",23
"24","SOUTHERN MIXED FOREST",24
"25","SOUTH MIXED GRASS PRARIE",25
"26","TALL GRASS PRAIRIE",26
"27","TALL GRASS SAVANNA",27
"28","WETLANDS",28
