"","x"
"1","Acric.Ferralsols"
"2","Acric.Plinthosols"
"3","Alic.Nitisols"
"4","Aric.Regosols"
"5","Calcaric.Regosols"
"6","Calcic.Chernozems"
"7","Calcic.Gleysols"
"8","Calcic.Gypsisols"
"9","Calcic.Kastanozems"
"10","Calcic.Luvisols"
"11","Calcic.Solonetz"
"12","Calcic.Vertisols"
"13","Cryic.Histosols"
"14","Cutanic.Alisols"
"15","Endogleyic.Cambisols"
"16","Ferralic.Arenosols"
"17","Ferralic.Cambisols"
"18","Fibric.Histosols"
"19","Gleyic.Luvisols"
"20","Gleyic.Podzols"
"21","Gleyic.Solonetz"
"22","Gypsic.Solonchaks"
"23","Haplic.Acrisols"
"24","Haplic.Acrisols..Alumic."
"25","Haplic.Acrisols..Ferric."
"26","Haplic.Acrisols..Humic."
"27","Haplic.Albeluvisols"
"28","Haplic.Alisols"
"29","Haplic.Arenosols"
"30","Haplic.Arenosols..Calcaric."
"31","Haplic.Calcisols"
"32","Haplic.Calcisols..Sodic."
"33","Haplic.Cambisols"
"34","Haplic.Cambisols..Calcaric."
"35","Haplic.Cambisols..Chromic."
"36","Haplic.Cambisols..Dystric."
"37","Haplic.Cambisols..Eutric."
"38","Haplic.Cambisols..Humic."
"39","Haplic.Cambisols..Sodic."
"40","Haplic.Chernozems"
"41","Haplic.Cryosols"
"42","Haplic.Ferralsols"
"43","Haplic.Ferralsols..Rhodic."
"44","Haplic.Ferralsols..Xanthic."
"45","Haplic.Fluvisols"
"46","Haplic.Fluvisols..Arenic."
"47","Haplic.Fluvisols..Calcaric."
"48","Haplic.Fluvisols..Dystric."
"49","Haplic.Fluvisols..Eutric."
"50","Haplic.Gleysols"
"51","Haplic.Gleysols..Dystric."
"52","Haplic.Gleysols..Eutric."
"53","Haplic.Gypsisols"
"54","Haplic.Kastanozems"
"55","Haplic.Leptosols"
"56","Haplic.Leptosols..Eutric."
"57","Haplic.Lixisols"
"58","Haplic.Lixisols..Chromic."
"59","Haplic.Lixisols..Ferric."
"60","Haplic.Luvisols"
"61","Haplic.Luvisols..Chromic."
"62","Haplic.Luvisols..Ferric."
"63","Haplic.Nitisols..Rhodic."
"64","Haplic.Phaeozems"
"65","Haplic.Planosols..Eutric."
"66","Haplic.Podzols"
"67","Haplic.Regosols"
"68","Haplic.Regosols..Dystric."
"69","Haplic.Regosols..Eutric."
"70","Haplic.Solonchaks"
"71","Haplic.Solonchaks..Sodic."
"72","Haplic.Solonetz"
"73","Haplic.Umbrisols"
"74","Haplic.Vertisols"
"75","Haplic.Vertisols..Eutric."
"76","Hemic.Histosols"
"77","Histic.Albeluvisols"
"78","Hypoluvic.Arenosols"
"79","Leptic.Cambisols"
"80","Leptic.Luvisols"
"81","Leptic.Phaeozems"
"82","Leptic.Regosols"
"83","Leptic.Umbrisols"
"84","Lithic.Leptosols"
"85","Lixic.Plinthosols"
"86","Luvic.Calcisols"
"87","Luvic.Chernozems"
"88","Luvic.Phaeozems"
"89","Luvic.Stagnosols"
"90","Mollic.Gleysols"
"91","Mollic.Leptosols"
"92","Mollic.Solonetz"
"93","Mollic.Vertisols"
"94","Petric.Calcisols"
"95","Petric.Durisols"
"96","Plinthic.Acrisols"
"97","Protic.Arenosols"
"98","Rendzic.Leptosols"
"99","Sapric.Histosols"
"100","Solodic.Planosols"
"101","Stagnic.Luvisols"
"102","Umbric.Andosols"
"103","Umbric.Gleysols"
"104","Vertic.Cambisols"
"105","Vertic.Luvisols"
"106","Vitric.Andosols"
"107","Vitric.Cryosols"
