"","ME","TPR","AUC","N","c1st","c2nd"
"Albolls",-0.20528013582343,0.923548825098878,0.927493082082278,589,"Borolls","Aquolls"
"Aqualfs",0.0231220508866615,0.891163899393715,0.909969109409497,2594,"Aqualfs","Udalfs"
"Aquands",-0.701,0.982607968681083,0.98288258909202,19,"Xerolls","Udands"
"Aquents",-0.0817585692995529,0.842686706316376,0.850854861198595,1342,"Aquepts","Udalfs"
"Aquepts",0.0421107266435986,0.872281416994323,0.884016271974853,1734,"Aquolls","Aquepts"
"Aquerts",-0.168053097345133,0.950134615195077,0.951975330301737,226,"Aqualfs","Udalfs"
"Aquods",0.0359601328903654,0.941329501735131,0.944269687967776,301,"Orthods","Udults"
"Aquolls",0.113591836734694,0.885083272504927,0.902273365800005,2450,"Udolls","Aquolls"
"Aquox",-0.95825,0.977547424732066,0.977771636482402,16,"Udults","Udox"
"Aquults",-0.150236842105263,0.9379800970356,0.941732088357768,380,"Udults","Aquults"
"Arents",-0.219259927797834,0.986198162655183,0.991262838581269,554,"Arents","Ustox"
"Argids",-0.143969128996692,0.977559004468379,0.985522961666885,907,"Argids","Xerolls"
"Borolls",0.134204041399704,0.967450469200788,0.984482480379228,2029,"Borolls","Albolls"
"Calcids",-0.127078372093023,0.982266423576606,0.985114785536067,301,"Argids","Calcids"
"Cambids",-0.113740331491713,0.988463972193213,0.991810363183184,362,"Cambids","Argids"
"Cryalfs",-0.73906375,0.997255048291979,0.997619115933329,32,"Ochrepts","Borolls"
"Cryands",0.018916149068323,0.992236450104903,0.993721824383393,161,"Cryands","Ochrepts"
"Cryepts",0.0054,0.978395622987834,0.979880156174736,150,"Ochrepts","Cryepts"
"Cryids",NA,0.993789727097499,0.993923762124111,NA,"Argids","Borolls"
"Cryods",-0.0553383458646617,0.993979718425713,0.995186427198261,133,"Orthods","Cryods"
"Cryolls",-0.223389873417722,0.990908521533501,0.991604464883515,79,"Borolls","Cryolls"
"Durids",-0.255713559322034,0.989182076745426,0.989829280904303,59,"Argids","Xerolls"
"Fibrists",-0.00682,0.964658012451845,0.967141515119,250,"Fibrists","Udults"
"Fluvents",0.0940278657378087,0.837958746515184,0.84846953454823,1579,"Udults","Udalfs"
"Folists",-0.472533333333333,0.985021878974883,0.985347881869588,30,"Orthods","Cryods"
"Gelands",-1.04634615384615,0.97208517140598,0.972322114875635,26,"Gelods","Turbels"
"Gelepts",NA,0.831687085014576,0.831771440001511,NA,"Ochrepts","Turbels"
"Gelods",-0.730769230769231,0.996990031689051,0.997763716521447,78,"Turbels","Gelods"
"Gypsids",-0.118928571428571,0.993130097522933,0.993853013483565,70,"Argids","Gypsids"
"Hemists",-0.178585014409222,0.93163081895555,0.934344952591987,347,"Ochrepts","Hemists"
"Histels",-0.319049668874172,0.989928324084106,0.992759332160426,302,"Histels","Turbels"
"Humods",-0.0028993288590604,0.923250179300539,0.924621476105605,149,"Orthents","Orthods"
"Humults",-0.111508620689655,0.979112771944714,0.981978569708482,348,"Humults","Udults"
"Ochrepts",0.134080882352941,0.889388222835829,0.909170602464546,2720,"Ochrepts","Udalfs"
"Orthels",-0.0115308641975309,0.969996597505529,0.976036611703983,648,"Ochrepts","Orthels"
"Orthents",0.137519623233909,0.879266922710142,0.893724805375846,1911,"Orthents","Udults"
"Orthods",0.101332899869961,0.967323053719899,0.980615695682584,1538,"Orthods","Ochrepts"
"Perox",-0.727047619047619,0.991016274688291,0.99130958895819,21,"Udults","Perox"
"Psamments",0.0500231884057971,0.904679748274701,0.918357649706609,1725,"Psamments","Udults"
"Rendolls",-0.467487804878049,0.929124412019713,0.929393760711581,41,"Udalfs","Ochrepts"
"Salids",-0.636756756756757,0.943583283124281,0.944126676870381,37,"Argids","Fluvents"
"Saprists",-0.416862382445141,0.926571385939828,0.928958359653983,319,"Saprists","Udalfs"
"Torrands",-0.27915,0.994049466566857,0.994633561805162,60,"Xerolls","Torrands"
"Torrerts",-0.112748113207547,0.981965390719438,0.983042902328593,106,"Ustolls","Torrerts"
"Torrox",-0.302041916167665,0.983151952107179,0.9865716431659,334,"Ustox","Torrox"
"Turbels",0.0636137229987293,0.988406528584987,0.995616410957875,787,"Turbels","Orthels"
"Udalfs",0.0165886816313626,0.884810436519142,0.930006733707457,6326,"Udalfs","Udults"
"Udands",-0.0445854700854701,0.990076943519459,0.991871830311372,234,"Udands","Udox"
"Udepts",0.0914676696990903,0.89840544687117,0.908842934838624,1429,"Udepts","Udults"
"Uderts",0.0260282485875706,0.953995511047694,0.955907580698368,177,"Udults","Uderts"
"Udolls",0.0925916431684183,0.905687493073201,0.934210816967547,3901,"Udolls","Udalfs"
"Udox",0.0333445491251682,0.927275512376631,0.946248863082125,2229,"Ustox","Udox"
"Udults",-0.0165379227536522,0.909110802151627,0.947207377280018,4997,"Udults","Udalfs"
"Ustalfs",-0.106126126126126,0.953094773612393,0.964092200484384,1332,"Ustalfs","Ustolls"
"Ustands",-0.857352941176471,0.997842353241894,0.99803336631823,17,"Ustalfs","Orthents"
"Ustepts",0.0429771428571429,0.966125973859994,0.967872429201726,175,"Ustolls","Ustepts"
"Usterts",-0.247847457627119,0.973297572728857,0.978514958885789,590,"Usterts","Ustolls"
"Ustolls",-0.17360430950049,0.949238822542245,0.966094682018052,2042,"Ustolls","Borolls"
"Ustox",0.066699604743083,0.929718079509345,0.947338891070254,2024,"Ustox","Udox"
"Ustults",-0.00427972027972028,0.987049703322914,0.989741431637789,286,"Ustults","Ustalfs"
"Vitrands",-0.268032258064516,0.978164510180511,0.978740142672215,62,"Vitrands","Ochrepts"
"Xeralfs",-0.342081300813008,0.974062144630867,0.979307403460715,615,"Xeralfs","Xerolls"
"Xerands",-0.023978354978355,0.98909706775183,0.991110994008023,231,"Xerands","Xerolls"
"Xerepts",-0.264251700680272,0.986136774550612,0.991483528147962,588,"Xerepts","Xeralfs"
"Xererts",-0.0150997826086957,0.959907575652936,0.961479087574797,184,"Xererts","Xerolls"
"Xerolls",0.00131159969673996,0.972820038693518,0.984419699432783,1319,"Xerolls","Xeralfs"
"Xerults",-0.334566037735849,0.974014619360266,0.974426738696751,53,"Xeralfs","Humults"
